,HexColor,ColorOrder,Kingdom,Phylum,Class,Order,Family,Genus,PFG
0,#0F2F9D,163,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Firmicutes Lactobacillaceae Lactobacillus
1,#918075,7,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Firmicutes Lachnospiraceae Blautia
2,#16DDD3,44,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidetes Bacteroidaceae Bacteroides
3,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Firmicutes Peptostreptococcaceae Romboutsia
7,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Firmicutes Lachnospiraceae Anaerostipes
9,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,Firmicutes Lachnospiraceae Agathobacter
10,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae NK4A214 group,Firmicutes Ruminococcaceae Ruminococcaceae NK4A214 group
12,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae UCG-003,Firmicutes Erysipelotrichaceae Erysipelotrichaceae UCG-003
13,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas 3,Firmicutes Veillonellaceae Selenomonas 3
14,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 3,Firmicutes Lachnospiraceae Coprococcus 3
15,#D0D0D0,189,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Fusobacteria Leptotrichiaceae Leptotrichia
17,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Firmicutes Ruminococcaceae Faecalibacterium
18,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,[Clostridium] innocuum group,Firmicutes Erysipelotrichaceae [Clostridium] innocuum group
19,#6683EB,168,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Firmicutes Bacillaceae Bacillus
20,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-005,Firmicutes Ruminococcaceae Ruminococcaceae UCG-005
21,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Firmicutes Lactobacillaceae Lactobacillus
22,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,[Eubacterium] coprostanoligenes group,Firmicutes Ruminococcaceae [Eubacterium] coprostanoligenes group
23,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,Firmicutes Ruminococcaceae Subdoligranulum
24,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae R-7 group,Firmicutes Christensenellaceae Christensenellaceae R-7 group
25,#B8D93F,126,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Firmicutes Streptococcaceae Streptococcus
26,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Firmicutes Erysipelotrichaceae Erysipelatoclostridium
28,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 2,Firmicutes Lachnospiraceae Coprococcus 2
29,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Firmicutes Lachnospiraceae Roseburia
31,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 7,Bacteroidetes Prevotellaceae Prevotella 7
33,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium 9,Firmicutes Ruminococcaceae Ruminiclostridium 9
34,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Firmicutes Lachnospiraceae Dorea
36,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Firmicutes Peptostreptococcaceae Peptostreptococcus
38,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidetes Bacteroidaceae Bacteroides
39,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia,Actinobacteria Eggerthellaceae Slackia
41,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella 4,Firmicutes Lachnospiraceae Tyzzerella 4
43,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Neisseria,Proteobacteria Neisseriaceae Neisseria
44,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,Firmicutes Clostridiaceae 1 Clostridium sensu stricto 1
45,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinobacteria Actinomycetaceae Actinomyces
47,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Firmicutes Veillonellaceae Veillonella
48,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Proteobacteria Pasteurellaceae Haemophilus
